,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
127,Santo Andre,Brazil,2009-09-27,BR1,1,1,2,Sport Recife,4.33,3.5,1.85,1.8,2009,2.0
128,Cruzeiro,Brazil,2009-09-26,BR1,1,1,0,Barueri,2.88,3.3,2.38,1.62,2009,2.25
129,Atletico-PR,Brazil,2009-09-26,BR1,1,1,2,Palmeiras,7.0,4.2,1.44,1.67,2009,2.15
130,Palmeiras,Brazil,2009-09-24,BR1,1,2,1,Cruzeiro,3.1,3.5,2.2,1.73,2009,2.08
131,Barueri,Brazil,2009-09-20,BR1,1,0,4,Avai,3.6,3.3,2.04,1.7,2009,2.1
132,Goias,Brazil,2009-09-20,BR1,1,4,1,Corinthians,4.5,3.5,1.75,1.65,2009,2.2
133,Coritiba,Brazil,2009-09-20,BR1,1,0,3,Flamengo RJ,5.5,3.6,1.67,1.7,2009,2.1
134,Fluminense,Brazil,2009-09-20,BR1,1,1,5,Gremio,7.0,3.8,1.5,1.67,2009,2.15
135,Sao Paulo,Brazil,2009-09-20,BR1,1,1,1,Santo Andre,1.7,3.4,5.5,1.9,2009,1.9
136,Botafogo RJ,Brazil,2009-09-20,BR1,1,0,0,Santos,4.5,3.3,1.85,1.62,2009,2.25
137,Sport Recife,Brazil,2009-09-19,BR1,1,0,1,Atletico-PR,4.75,3.6,1.73,1.8,2009,2.0
138,Atletico-MG,Brazil,2009-09-19,BR1,1,0,0,Nautico,2.7,3.3,2.54,1.73,2009,2.08
139,Internacional,Brazil,2009-09-19,BR1,1,0,2,Vitoria,2.88,3.3,2.4,1.62,2009,2.25
140,Corinthians,Brazil,2009-09-17,BR1,1,1,1,Coritiba,2.8,3.3,2.45,1.8,2009,2.0
141,Atletico-PR,Brazil,2009-09-13,BR1,1,1,2,Atletico-MG,4.75,3.5,1.75,1.75,2009,2.04
142,Goias,Brazil,2009-09-13,BR1,1,1,3,Barueri,3.6,3.5,2.0,1.57,2009,2.35
143,Fluminense,Brazil,2009-09-13,BR1,1,0,0,Botafogo RJ,4.5,3.4,1.83,1.8,2009,2.0
144,Cruzeiro,Brazil,2009-09-13,BR1,1,3,2,Internacional,6.0,3.75,1.57,1.65,2009,2.2
145,Gremio,Brazil,2009-09-13,BR1,1,2,0,Nautico,2.29,3.3,3.0,1.8,2009,2.0
146,Santo Andre,Brazil,2009-09-13,BR1,1,0,1,Santos,6.0,3.8,1.57,1.6,2009,2.29
147,Palmeiras,Brazil,2009-09-13,BR1,1,2,3,Vitoria,2.63,3.25,2.63,1.9,2009,1.9
148,Sport Recife,Brazil,2009-09-12,BR1,1,0,3,Flamengo RJ,5.75,3.6,1.6,1.7,2009,2.1
149,Avai,Brazil,2009-09-12,BR1,1,0,2,Sao Paulo,7.0,4.0,1.5,1.65,2009,2.2
150,Flamengo RJ,Brazil,2009-09-06,BR1,1,0,0,Atletico-PR,3.5,3.3,2.1,1.95,2009,1.85
151,Internacional,Brazil,2009-09-06,BR1,1,2,0,Avai,2.29,3.3,3.0,1.65,2009,2.2
152,Sao Paulo,Brazil,2009-09-06,BR1,1,2,1,Cruzeiro,3.2,3.3,2.25,1.95,2009,1.85
153,Nautico,Brazil,2009-09-06,BR1,1,1,1,Fluminense,5.75,3.75,1.6,1.67,2009,2.15
154,Coritiba,Brazil,2009-09-06,BR1,1,2,2,Goias,6.5,3.8,1.53,1.65,2009,2.2
155,Atletico-MG,Brazil,2009-09-06,BR1,1,2,1,Santo Andre,3.3,3.3,2.15,1.75,2009,2.04
156,Vitoria,Brazil,2009-09-05,BR1,1,1,1,Gremio,7.0,4.2,1.45,1.57,2009,2.35
157,Barueri,Brazil,2009-09-05,BR1,1,1,2,Palmeiras,8.5,3.75,1.45,1.65,2009,2.2
158,Botafogo RJ,Brazil,2009-09-05,BR1,1,1,2,Sport Recife,3.4,3.2,2.2,1.65,2009,2.2
159,Santos,Brazil,2009-09-03,BR1,1,1,2,Corinthians,3.2,3.3,2.25,1.73,2009,2.08
160,Atletico-MG,Brazil,2009-09-03,BR1,1,0,3,Internacional,7.5,4.2,1.44,1.53,2009,2.4
161,Sport Recife,Brazil,2009-08-30,BR1,1,1,1,Atletico-MG,6.5,4.2,1.5,1.57,2009,2.35
162,Gremio,Brazil,2009-08-30,BR1,1,3,3,Botafogo RJ,3.3,3.4,2.15,1.8,2009,2.0
163,Goias,Brazil,2009-08-30,BR1,1,0,4,Internacional,4.2,3.75,1.83,1.62,2009,2.25
164,Fluminense,Brazil,2009-08-30,BR1,1,0,2,Santos,5.5,3.6,1.67,1.65,2009,2.25
165,Palmeiras,Brazil,2009-08-30,BR1,1,0,0,Sao Paulo,3.0,3.2,2.38,2.04,2009,1.75
166,Cruzeiro,Brazil,2009-08-30,BR1,1,3,3,Vitoria,3.1,3.3,2.29,1.85,2009,1.95
167,Avai,Brazil,2009-08-29,BR1,1,0,2,Coritiba,3.75,3.4,2.0,1.85,2009,1.95
168,Santo Andre,Brazil,2009-08-29,BR1,1,0,3,Flamengo RJ,4.2,3.4,1.85,1.85,2009,1.95
169,Atletico-PR,Brazil,2009-08-29,BR1,1,0,3,Nautico,3.6,3.4,2.0,1.85,2009,1.95
170,Cruzeiro,Brazil,2009-08-28,BR1,1,1,1,Botafogo RJ,3.5,3.6,2.0,1.6,2009,2.29
171,Corinthians,Brazil,2009-08-27,BR1,1,2,2,Barueri,3.4,3.3,2.15,1.6,2009,2.25
172,Internacional,Brazil,2009-08-27,BR1,1,3,3,Santos,3.75,3.4,2.0,1.73,2009,2.08
173,Sao Paulo,Brazil,2009-08-23,BR1,1,0,1,Atletico-PR,2.29,3.25,3.1,2.0,2009,1.8
174,Flamengo RJ,Brazil,2009-08-23,BR1,1,0,3,Avai,4.5,3.5,1.75,1.7,2009,2.1
175,Botafogo RJ,Brazil,2009-08-23,BR1,1,3,3,Corinthians,3.75,3.25,2.04,1.85,2009,1.95
176,Nautico,Brazil,2009-08-23,BR1,1,2,4,Cruzeiro,9.0,4.33,1.4,1.65,2009,2.2
177,Barueri,Brazil,2009-08-23,BR1,1,0,0,Fluminense,3.8,3.3,2.0,1.73,2009,2.08
178,Santos,Brazil,2009-08-23,BR1,1,1,2,Goias,3.8,3.3,1.95,1.65,2009,2.2
179,Atletico-MG,Brazil,2009-08-23,BR1,1,1,4,Gremio,4.75,3.4,1.75,1.7,2009,2.1
180,Internacional,Brazil,2009-08-22,BR1,1,1,2,Palmeiras,4.33,3.6,1.83,1.8,2009,2.0
181,Coritiba,Brazil,2009-08-22,BR1,1,0,1,Santo Andre,3.6,3.4,2.0,1.8,2009,2.0
182,Vitoria,Brazil,2009-08-22,BR1,1,0,2,Sport Recife,3.2,3.4,2.2,1.7,2009,2.1
183,Avai,Brazil,2009-08-21,BR1,1,2,2,Atletico-MG,3.6,3.2,2.04,1.73,2009,2.08
184,Cruzeiro,Brazil,2009-08-21,BR1,1,2,1,Flamengo RJ,3.2,3.3,2.2,1.75,2009,2.04
185,Goias,Brazil,2009-08-21,BR1,1,0,2,Nautico,2.2,3.3,3.25,1.57,2009,2.35
186,Sport Recife,Brazil,2009-08-20,BR1,1,1,2,Barueri,6.5,3.75,1.57,1.6,2009,2.25
187,Santo Andre,Brazil,2009-08-20,BR1,1,2,1,Botafogo RJ,6.5,3.75,1.55,1.67,2009,2.15
188,Palmeiras,Brazil,2009-08-20,BR1,1,0,1,Coritiba,2.4,3.3,2.9,1.95,2009,1.85
189,Corinthians,Brazil,2009-08-20,BR1,1,2,1,Internacional,5.75,3.6,1.62,1.85,2009,1.95
190,Gremio,Brazil,2009-08-20,BR1,1,0,1,Santos,3.5,3.25,2.1,1.7,2009,2.1
191,Fluminense,Brazil,2009-08-20,BR1,1,0,1,Sao Paulo,7.5,4.2,1.44,1.7,2009,2.1
192,Atletico-PR,Brazil,2009-08-20,BR1,1,1,2,Vitoria,4.5,3.25,1.8,1.8,2009,2.0
193,Barueri,Brazil,2009-08-16,BR1,1,0,3,Atletico-PR,3.3,3.25,2.2,1.67,2009,2.1
194,Atletico-MG,Brazil,2009-08-16,BR1,1,0,2,Corinthians,3.75,3.5,1.95,1.8,2009,2.0
195,Santos,Brazil,2009-08-16,BR1,1,0,0,Cruzeiro,4.5,3.6,1.8,1.7,2009,2.1
